Mánuður,Vísitala,Launþegahópur,Eining,gildi
2016M02,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,84
2016M02,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",3.8
2016M02,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",12.6
2016M02,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,82.7
2016M02,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.8
2016M02,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",11.7
2016M02,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,82.5
2016M02,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",1.2
2016M02,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",12.2
2016M02,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,82.9
2016M02,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.4
2016M02,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",11
2016M02,Vísitala grunnlauna,Alls,Vísitölugildi,83.7
2016M02,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",2.9
2016M02,Vísitala grunnlauna,Alls,"Ársbreyting, %",11.2
2016M02,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,84.1
2016M02,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",3.8
2016M02,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",12.1
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,82.9
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.4
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",8.5
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,82.8
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.4
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",9.8
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,83.1
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.4
2016M02,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",6.9
